Date:,Redflesh Fish,Tender Timber,Tough Leather,Natural Pearl,Heavy Iron Ore,Treated Meat,Fresh Mushroom,Shy Wild Flower,Tool Crafting Part,Rare Relic,
21/02/2022,"1,4","1,9","2,4","1,9","2,3","6,2","2,9","8,1","10,7",8,"45,8"
22/02/2022,"1,3",2,2,"1,6","3,2","5,8","3,9","8,7","6,9","7,6",43
23/02/2022,"1,7","2,2",2,"1,7","2,9","7,3","6,6","8,7","8,9","8,7","50,7"
24/02/2022,"2,3","2,8","3,4",4,"3,7","8,2","6,9","10,8","7,7","9,7","59,5"
25/02/2022,"2,1","2,5","2,5","3,2","3,2",7,"6,5","10,7",8,9,"54,7"
26/02/2022,"1,8","2,5","2,7","2,8","3,6","6,9","5,8","9,5","7,4",8,51
27/02/2022,2,"2,7","3,9",3,"3,8","5,5","6,7","11,9","8,3","8,4","56,2"
28/02/2022,"2,1",3,"3,1","3,1","3,8","5,6","7,2","10,6","7,6","8,6","54,7"
01/03/2022,"2,2",3,"2,9","2,9","3,6","4,9","6,8","10,3","7,4","8,2","52,2"
02/03/2022,"2,4","3,3","2,7","2,7","3,6","5,9","6,6","10,1","6,9","8,4","52,6"
03/03/2022,"2,3","3,5","3,1","3,4","3,8","8,2","7,8","10,5","6,9","8,6","58,1"
04/03/2022,"2,1","3,7","4,4","4,2","3,5","6,1","6,9","10,7","6,7","7,9","56,2"
05/03/2022,"2,2","3,7","2,5","3,3","3,7","5,9","6,7",10,7,"7,6","52,6"
06/03/2022,"2,1","3,7",3,"3,3","3,7","6,6","5,7",10,"8,5","7,5","54,1"
07/03/2022,"2,1","3,8","2,3","3,7","3,7","6,1","5,7","9,7",7,"7,5","51,6"
08/03/2022,"2,3","3,9","2,6",4,"3,7","4,7","5,6","9,1",7,"7,6","50,5"
09/03/2022,"2,4","4,3","2,7","5,2","3,4",5,"5,6","9,2","6,9","9,6","54,3"
10/03/2022,"3,5","4,3","7,7","6,1","3,8","7,5",5,"9,2","8,1","12,2","67,4"
11/03/2022,"3,6","4,2","6,5","5,8","3,9",7,"5,6","8,3","9,5","11,6",66
12/03/2022,"2,6","4,2","4,6","5,6","3,9","5,3",5,"7,7","8,2","10,4","57,5"
13/03/2022,"2,2","4,3","4,3","5,5","3,6","4,8","4,1","7,2","9,4","9,4","54,8"
14/03/2022,"2,3","4,5","4,1",5,"3,8","4,5","3,7",7,"10,7",9,"54,6"
15/03/2022,"1,8","4,7","3,6",3,"3,7","4,5","4,2","7,2","8,4","9,5","50,6"
16/03/2022,"1,1","4,4","3,6","1,1","3,5","4,1","3,9","6,6","8,8","9,6","46,7"
17/03/2022,1,"4,8","4,4",1,"3,9","5,6","3,8","6,5","8,3","9,5","48,8"
18/03/2022,1,"5,6","4,5","1,5","3,9","5,7","3,3","6,2","8,6","10,2","50,5"
19/03/2022,1,"5,8","4,5","1,1","3,9","4,5","3,3","6,2","8,5","9,6","48,4"
20/03/2022,1,6,"4,8",1,"3,8","5,2","3,2","6,4","7,7","9,7","48,8"
21/03/2022,1,"5,6","3,9","1,3","3,8","4,2","4,5","6,5",7,"9,2",47
22/03/2022,1,"4,9","3,8","1,1","3,4","4,4","3,3","5,6","6,8","8,8","43,1"
23/03/2022,1,"4,9","4,2",1,"3,3","4,2","3,5","5,2","6,8","8,1","42,2"
24/03/2022,1,"4,7","4,5","1,7","3,3","4,4","2,9","4,8","6,5","7,8","41,6"
25/03/2022,"1,3","4,6","4,4","4,3","3,4","5,3","4,7",6,"6,7","7,7","48,4"
26/03/2022,"2,3","4,8","4,2",5,"3,3","4,3","3,1","5,3","6,6","7,7","46,6"
27/03/2022,"2,6","5,1","3,8",5,"3,4","4,1","2,7","4,5","6,9","7,6","45,7"
28/03/2022,"2,3","4,8","3,4","3,9","3,2","3,5","2,3","3,7","6,5","7,6","41,2"
29/03/2022,"2,8","4,8","3,9","3,9","3,3","3,7","2,8","3,4","7,2","7,8","43,6"
30/03/2022,"2,3","5,6","3,8","3,8","3,3","3,6","2,3","3,6",7,"7,6","42,9"
31/03/2022,"2,8","5,8","4,1",4,"3,1","3,3","2,5","3,5","6,9","7,9","43,9"
01/04/2022,"2,4","5,6",4,"4,3",3,"3,7","2,6","3,8","7,9","10,3","47,6"
